Gender,Age,Length(cm),weight(Kg),Status,
Girl,24-59,69,7.4,Mild Malnutrition,
Girl,24-59,69,6.8,Moderate Malnutrition,
Girl,24-59,69,6.3,Severe  Malnutrition,
Girl,24-59,70,8.3,Normal,
Girl,24-59,70,7.6,Mild Malnutrition,
Girl,24-59,70,7.0,Moderate Malnutrition,
Girl,24-59,70,6.4,Severe  Malnutrition,
Girl,24-59,71,8.5,Normal,
Girl,24-59,71,7.8,Mild Malnutrition,
Girl,24-59,71,7.1,Moderate Malnutrition,
Girl,24-59,71,6.6,Severe  Malnutrition,
Girl,24-59,72,8.7,Normal,
Girl,24-59,72,8.0,Mild Malnutrition,
Girl,24-59,72,7.3,Moderate Malnutrition,
Girl,24-59,72,6.7,Severe  Malnutrition,
Girl,24-59,73,8.9,Normal,
Girl,24-59,73,8.1,Mild Malnutrition,
Girl,24-59,73,7.5,Moderate Malnutrition,
Girl,24-59,73,6.9,Severe  Malnutrition,
Girl,24-59,74,9.1,Normal,
Girl,24-59,74,8.3,Mild Malnutrition,
Girl,24-59,74,7.6,Moderate Malnutrition,
Girl,24-59,74,7.0,Severe  Malnutrition,
Girl,24-59,75,9.3,Normal,
Girl,24-59,75,8.5,Mild Malnutrition,
Girl,24-59,75,7.8,Moderate Malnutrition,
Girl,24-59,75,7.2,Severe  Malnutrition,
Girl,24-59,76,9.5,Normal,
Girl,24-59,76,8.7,Mild Malnutrition,
Girl,24-59,76,8.0,Moderate Malnutrition,
Girl,24-59,76,7.3,Severe  Malnutrition,
Girl,24-59,77,9.6,Normal,
Girl,24-59,77,8.8,Mild Malnutrition,
Girl,24-59,77,8.1,Moderate Malnutrition,
Girl,24-59,77,7.5,Severe  Malnutrition,
Girl,24-59,78,9.8,Normal,
Girl,24-59,78,9.0,Mild Malnutrition,
Girl,24-59,78,8.3,Moderate Malnutrition,
Girl,24-59,78,7.6,Severe  Malnutrition,
Girl,24-59,79,10.0,Normal,
Girl,24-59,79,9.2,Mild Malnutrition,
Girl,24-59,79,8.4,Moderate Malnutrition,
Girl,24-59,79,7.8,Severe  Malnutrition,
Girl,24-59,80,10.2,Normal,
Girl,24-59,80,9.4,Mild Malnutrition,
Girl,24-59,80,8.6,Moderate Malnutrition,
Girl,24-59,80,7.9,Severe  Malnutrition,
Girl,24-59,81,10.4,Normal,
Girl,24-59,81,9.6,Mild Malnutrition,
Girl,24-59,81,8.8,Moderate Malnutrition,
Girl,24-59,81,8.1,Severe  Malnutrition,
Girl,24-59,82,10.7,Normal,
Girl,24-59,82,9.8,Mild Malnutrition,
Girl,24-59,82,9.0,Moderate Malnutrition,
Girl,24-59,82,8.3,Severe  Malnutrition,
Girl,24-59,83,10.9,Normal,
Girl,24-59,83,10.0,Mild Malnutrition,
Girl,24-59,83,9.2,Moderate Malnutrition,
Girl,24-59,83,8.5,Severe  Malnutrition,
Girl,24-59,84,11.1,Normal,
Girl,24-59,84,10.2,Mild Malnutrition,
Girl,24-59,84,9.4,Moderate Malnutrition,
Girl,24-59,84,8.6,Severe  Malnutrition,
Girl,24-59,85,11.4,Normal,
Girl,24-59,85,10.4,Mild Malnutrition,
Girl,24-59,85,9.6,Moderate Malnutrition,
Girl,24-59,85,8.8,Severe  Malnutrition,
Girl,24-59,86,11.6,Normal,
Girl,24-59,86,10.7,Mild Malnutrition,
Girl,24-59,86,9.8,Moderate Malnutrition,
Girl,24-59,86,9.0,Severe  Malnutrition,
Girl,24-59,87,11.9,Normal,
Girl,24-59,87,10.9,Mild Malnutrition,
Girl,24-59,87,10.0,Moderate Malnutrition,
Girl,24-59,87,9.2,Severe  Malnutrition,
Girl,24-59,88,12.1,Normal,
Girl,24-59,88,11.1,Mild Malnutrition,
Girl,24-59,88,10.2,Moderate Malnutrition,
Girl,24-59,88,9.4,Severe  Malnutrition,
Girl,24-59,89,12.4,Normal,
Girl,24-59,89,11.4,Mild Malnutrition,
Girl,24-59,89,10.4,Moderate Malnutrition,
Girl,24-59,89,9.6,Severe  Malnutrition,
Girl,24-59,90,12.6,Normal,
Girl,24-59,90,11.6,Mild Malnutrition,
Girl,24-59,90,10.6,Moderate Malnutrition,
Girl,24-59,90,9.8,Severe  Malnutrition,
Girl,24-59,91,12.9,Normal,
Girl,24-59,91,11.8,Mild Malnutrition,
Girl,24-59,91,10.9,Moderate Malnutrition,
Girl,24-59,91,10.0,Severe  Malnutrition,
Girl,24-59,92,13.1,Normal,
Girl,24-59,92,12.0,Mild Malnutrition,
Girl,24-59,92,11.1,Moderate Malnutrition,
Girl,24-59,92,10.2,Severe  Malnutrition,
Girl,24-59,93,13.4,Normal,
Girl,24-59,93,12.3,Mild Malnutrition,
Girl,24-59,93,11.3,Moderate Malnutrition,
Girl,24-59,93,10.4,Severe  Malnutrition,
Boy,24-59,94,13.8,Normal,
Boy,24-59,94,12.8,Mild Malnutrition,
Boy,24-59,94,11.8,Moderate Malnutrition,
Boy,24-59,94,11.0,Severe  Malnutrition,
Boy,24-59,95,14.1,Normal,
Boy,24-59,95,13.0,Mild Malnutrition,
Boy,24-59,95,12.0,Moderate Malnutrition,
Boy,24-59,95,11.1,Severe  Malnutrition,
Boy,24-59,96,14.3,Normal,
Boy,24-59,96,13.2,Mild Malnutrition,
Boy,24-59,96,12.2,Moderate Malnutrition,
Boy,24-59,96,11.3,Severe  Malnutrition,
Boy,24-59,97,14.6,Normal,
Boy,24-59,97,13.4,Mild Malnutrition,
Boy,24-59,97,12.4,Moderate Malnutrition,
Boy,24-59,97,11.5,Severe  Malnutrition,
Boy,24-59,98,14.8,Normal,
Boy,24-59,98,13.7,Mild Malnutrition,
Boy,24-59,98,12.6,Moderate Malnutrition,
Boy,24-59,98,11.7,Severe  Malnutrition,
Boy,24-59,99,15.1,Normal,
Boy,24-59,99,13.9,Mild Malnutrition,
Boy,24-59,99,12.9,Moderate Malnutrition,
Boy,24-59,99,11.9,Severe  Malnutrition,
Boy,24-59,100,15.4,Normal,
Boy,24-59,100,14.2,Mild Malnutrition,
Boy,24-59,100,13.1,Moderate Malnutrition,
Boy,24-59,100,12.1,Severe  Malnutrition,
Boy,24-59,101,15.6,Normal,
Boy,24-59,101,14.4,Mild Malnutrition,
Boy,24-59,101,13.3,Moderate Malnutrition,
Boy,24-59,101,12.3,Severe  Malnutrition,
Boy,24-59,102,15.9,Normal,
Boy,24-59,102,14.7,Mild Malnutrition,
Boy,24-59,102,13.6,Moderate Malnutrition,
Boy,24-59,102,12.5,Severe  Malnutrition,
Boy,24-59,103,16.2,Normal,
Boy,24-59,103,14.9,Mild Malnutrition,
Boy,24-59,103,13.8,Moderate Malnutrition,
Boy,24-59,103,12.8,Severe  Malnutrition,
Boy,24-59,104,16.5,Normal,
Boy,24-59,104,15.2,Mild Malnutrition,
Boy,24-59,104,14.0,Moderate Malnutrition,
Boy,24-59,104,13.0,Severe  Malnutrition,
Boy,24-59,105,16.8,Normal,
Boy,24-59,105,15.5,Mild Malnutrition,
Boy,24-59,105,14.3,Moderate Malnutrition,
Boy,24-59,105,13.2,Severe  Malnutrition,
Boy,24-59,106,17.2,Normal,
Boy,24-59,106,15.8,Mild Malnutrition,
Boy,24-59,106,14.5,Moderate Malnutrition,
Boy,24-59,106,13.4,Severe  Malnutrition,
Boy,24-59,107,17.5,Normal,
Boy,24-59,107,16.1,Mild Malnutrition,
Boy,24-59,107,14.8,Moderate Malnutrition,
Boy,24-59,107,13.7,Severe  Malnutrition,
Boy,24-59,108,17.8,Normal,
Boy,24-59,108,16.4,Mild Malnutrition,
Boy,24-59,108,15.1,Moderate Malnutrition,
Boy,24-59,108,13.9,Severe  Malnutrition,
Boy,24-59,109,18.2,Normal,
Boy,24-59,109,16.7,Mild Malnutrition,
Boy,24-59,109,15.3,Moderate Malnutrition,
Boy,24-59,109,14.1,Severe  Malnutrition,
Boy,24-59,110,18.5,Normal,
Boy,24-59,110,17.0,Mild Malnutrition,
Boy,24-59,110,15.6,Moderate Malnutrition,
Boy,24-59,110,14.4,Severe  Malnutrition,
Boy,24-59,111,18.9,Normal,
Boy,24-59,111,17.3,Mild Malnutrition,
Boy,24-59,111,15.9,Moderate Malnutrition,
Boy,24-59,111,14.6,Severe  Malnutrition,
Boy,24-59,112,19.2,Normal,
Boy,24-59,112,17.6,Mild Malnutrition,
Boy,24-59,112,16.2,Moderate Malnutrition,
Boy,24-59,112,14.9,Severe  Malnutrition,
Boy,24-59,113,19.6,Normal,
Boy,24-59,113,18.0,Mild Malnutrition,
Boy,24-59,113,16.5,Moderate Malnutrition,
Boy,24-59,113,15.2,Severe  Malnutrition,
Boy,24-59,114,20.0,Normal,
Boy,24-59,114,18.3,Mild Malnutrition,
Boy,24-59,114,16.8,Moderate Malnutrition,
Boy,24-59,114,15.4,Severe  Malnutrition,
Boy,24-59,115,20.4,Normal,
Boy,24-59,115,18.6,Mild Malnutrition,
Boy,24-59,115,17.1,Moderate Malnutrition,
Boy,24-59,115,15.7,Severe  Malnutrition,
Boy,24-59,116,20.8,Normal,
Boy,24-59,116,19.0,Mild Malnutrition,
Boy,24-59,116,17.4,Moderate Malnutrition,
Boy,24-59,116,16.0,Severe  Malnutrition,
Boy,24-59,117,21.2,Normal,
Boy,24-59,117,19.3,Mild Malnutrition,
Boy,24-59,117,17.7,Moderate Malnutrition,
Boy,24-59,117,16.2,Severe  Malnutrition,
Boy,24-59,118,21.6,Normal,
Boy,24-59,118,19.7,Mild Malnutrition,
Boy,24-59,118,18.0,Moderate Malnutrition,
Boy,24-59,118,16.5,Severe  Malnutrition,
Boy,24-59,119,22.0,Normal,
Boy,24-59,119,20.0,Mild Malnutrition,
Boy,24-59,119,18.3,Moderate Malnutrition,
Boy,24-59,119,16.8,Severe  Malnutrition,
Boy,24-59,120,22.4,Normal,
Boy,24-59,120,20.4,Mild Malnutrition,
Boy,24-59,120,18.6,Moderate Malnutrition,
Boy,24-59,120,17.1,Severe  Malnutrition,
Girl,24-59,94,13.6,Normal,
Girl,24-59,94,12.5,Mild Malnutrition,
Girl,24-59,94,11.5,Moderate Malnutrition,
Girl,24-59,94,10.6,Severe  Malnutrition,
Girl,24-59,95,13.9,Normal,
Girl,24-59,95,12.7,Mild Malnutrition,
Girl,24-59,95,11.7,Moderate Malnutrition,
Girl,24-59,95,10.8,Severe  Malnutrition,
Girl,24-59,96,14.1,Normal,
Girl,24-59,96,12.9,Mild Malnutrition,
Girl,24-59,96,11.9,Moderate Malnutrition,
Girl,24-59,96,10.9,Severe  Malnutrition,
Girl,24-59,97,14.4,Normal,
Girl,24-59,97,13.2,Mild Malnutrition,
Girl,24-59,97,12.1,Moderate Malnutrition,
Girl,24-59,97,11.1,Severe  Malnutrition,
Girl,24-59,98,14.7,Normal,
Girl,24-59,98,13.4,Mild Malnutrition,
Girl,24-59,98,12.3,Moderate Malnutrition,
Girl,24-59,98,11.3,Severe  Malnutrition,
Girl,24-59,99,14.9,Normal,
Girl,24-59,99,13.7,Mild Malnutrition,
Girl,24-59,99,12.5,Moderate Malnutrition,
Girl,24-59,99,11.5,Severe  Malnutrition,
Girl,24-59,100,15.2,Normal,
Girl,24-59,100,13.9,Mild Malnutrition,
Girl,24-59,100,12.8,Moderate Malnutrition,
Girl,24-59,100,11.7,Severe  Malnutrition,
Girl,24-59,101,15.5,Normal,
Girl,24-59,101,14.2,Mild Malnutrition,
Girl,24-59,101,13.0,Moderate Malnutrition,
Girl,24-59,101,12.0,Severe  Malnutrition,
Girl,24-59,102,15.8,Normal,
Girl,24-59,102,14.5,Mild Malnutrition,
Girl,24-59,102,13.3,Moderate Malnutrition,
Girl,24-59,102,12.2,Severe  Malnutrition,
Girl,24-59,103,16.1,Normal,
Girl,24-59,103,14.7,Mild Malnutrition,
Girl,24-59,103,13.5,Moderate Malnutrition,
Girl,24-59,103,12.4,Severe  Malnutrition,
Girl,24-59,104,16.4,Normal,
Girl,24-59,104,15.0,Mild Malnutrition,
Girl,24-59,104,13.8,Moderate Malnutrition,
Girl,24-59,104,12.6,Severe  Malnutrition,
Girl,24-59,105,16.8,Normal,
Girl,24-59,105,15.3,Mild Malnutrition,
Girl,24-59,105,14.0,Moderate Malnutrition,
Girl,24-59,105,12.9,Severe  Malnutrition,
Girl,24-59,106,17.1,Normal,
Girl,24-59,106,15.6,Mild Malnutrition,
Girl,24-59,106,14.3,Moderate Malnutrition,
Girl,24-59,106,13.1,Severe  Malnutrition,
Girl,24-59,107,17.5,Normal,
Girl,24-59,107,15.9,Mild Malnutrition,
Girl,24-59,107,14.6,Moderate Malnutrition,
Girl,24-59,107,13.4,Severe  Malnutrition,
Girl,24-59,108,17.8,Normal,
Girl,24-59,108,16.3,Mild Malnutrition,
Girl,24-59,108,14.9,Moderate Malnutrition,
Girl,24-59,108,13.7,Severe  Malnutrition,
Girl,24-59,109,18.2,Normal,
Girl,24-59,109,16.6,Mild Malnutrition,
Girl,24-59,109,15.2,Moderate Malnutrition,
Girl,24-59,109,13.9,Severe  Malnutrition,
Girl,24-59,110,18.6,Normal,
Girl,24-59,110,17.0,Mild Malnutrition,
Girl,24-59,110,15.5,Moderate Malnutrition,
Girl,24-59,110,14.2,Severe  Malnutrition,
Girl,24-59,111,19.0,Normal,
Girl,24-59,111,17.3,Mild Malnutrition,
Girl,24-59,111,15.8,Moderate Malnutrition,
Girl,24-59,111,14.5,Severe  Malnutrition,
Girl,24-59,112,19.4,Normal,
Girl,24-59,112,17.7,Mild Malnutrition,
Girl,24-59,112,16.2,Moderate Malnutrition,
Girl,24-59,112,14.8,Severe  Malnutrition,
Girl,24-59,113,19.8,Normal,
Girl,24-59,113,18.0,Mild Malnutrition,
Girl,24-59,113,16.5,Moderate Malnutrition,
Girl,24-59,113,15.1,Severe  Malnutrition,
Girl,24-59,114,20.2,Normal,
Girl,24-59,114,18.4,Mild Malnutrition,
Girl,24-59,114,16.8,Moderate Malnutrition,
Girl,24-59,114,15.4,Severe  Malnutrition,
Girl,24-59,115,20.7,Normal,
Girl,24-59,115,18.8,Mild Malnutrition,
Girl,24-59,115,17.2,Moderate Malnutrition,
Girl,24-59,115,15.7,Severe  Malnutrition,
Girl,24-59,116,21.1,Normal,
Girl,24-59,116,19.2,Mild Malnutrition,
Girl,24-59,116,17.5,Moderate Malnutrition,
Girl,24-59,116,16.0,Severe  Malnutrition,
Girl,24-59,117,21.5,Normal,
Girl,24-59,117,19.6,Mild Malnutrition,
Girl,24-59,117,17.8,Moderate Malnutrition,
Girl,24-59,117,16.3,Severe  Malnutrition,
Girl,24-59,118,22.0,Normal,
Girl,24-59,118,19.9,Mild Malnutrition,
Girl,24-59,118,18.2,Moderate Malnutrition,
Girl,24-59,118,16.6,Severe  Malnutrition,
Girl,24-59,119,22.4,Normal,
Girl,24-59,119,20.3,Mild Malnutrition,
Girl,24-59,119,18.5,Moderate Malnutrition,
Girl,24-59,119,16.9,Severe  Malnutrition,
Girl,24-59,120,22.8,Normal,
Girl,24-59,120,20.7,Mild Malnutrition,
Girl,24-59,120,18.9,Moderate Malnutrition,
Girl,24-59,120,17.3,Severe  Malnutrition,
